Crop,Description,How_to_Grow,Economic_Importance,Uses,Major_Districts,YouTube_Links,Article_Links
Fruits,"Fruits is cultivated in Coastal Karnataka. It is important locally for food and income and adapted to local climate and soils. Major producing districts include Dakshina Kannada, Udupi, Uttara Kannada.","1. Soil type (ಮಣ್ಣು): lateritic or sandy-loam ಮಣ್ಣು (ಲೇಟೆರೈಟಿಕ್/ಮರಳು ಮಿಶ್ರ ಮಣ್ಣು) with good drainage.

2. Land preparation (ನೆಲ ಸಿದ್ಧತೆ): Plough 2–3 times, remove weeds and level the field. Incorporate well-rotted farmyard manure (ಗೊಬ್ಬರ) or compost into the topsoil.

3. Sowing time (ಬಿತ್ತನೆ ಸಮಯ): Start planting with the onset of the southwest monsoon; heavy rains help establishment.

4. Seed rate & spacing (ಬೀಜ ಪ್ರಮಾಣ ಮತ್ತು ಅಂತರ): Use recommended seed rates from KVK/UAS.

5. Fertilizer & manure (ಗೊಬ್ಬರ ಮತ್ತು ಎರೆವು): Apply FYM and balanced NPK based on soil test.

6. Watering schedule (ನೀರಾವರಿ): Water as per crop stage; use drip ನೀರಾವರಿ where possible.

7. Weeding and interculture (ಕೊಳೆ ತೆಗೆಯುವುದು): Timely weeding and mulching helps conserve moisture.

8. Pest & disease control (ಕೀಟ/ರೋಗ): Follow IPM and use neem-based (ನಿಂಬೆ) biopesticides for minor pests.

9. Harvesting (ಕೊಯ್ದು): Harvest at maturity and dry/store properly.",Fruits supports local food and income needs in Coastal Karnataka; market value depends on quality and access to buyers.,"Used for food, feed or processing depending on crop; residues generally returned to soil as mulch or used as fodder.","Dakshina Kannada, Udupi, Uttara Kannada",KVK / ICAR YouTube playlist – general crop practices: https://www.youtube.com/user/ICARDARESEARCH,KVK or Agri extension article portal (search specific crop): https://kvk.icar.gov.in/
Jackfruit,"Jackfruit (Artocarpus heterophyllus) is cultivated in Coastal Karnataka. It is important locally for food and income and adapted to local climate and soils. Major producing districts include Dakshina Kannada, Udupi, Uttara Kannada.","1. Soil type (ಮಣ್ಣು): lateritic or sandy-loam ಮಣ್ಣು (ಲೇಟೆರೈಟಿಕ್/ಮರಳು ಮಿಶ್ರ ಮಣ್ಣು) with good drainage.

2. Land preparation (ನೆಲ ಸಿದ್ಧತೆ): Plough 2–3 times, remove weeds and level the field. Incorporate well-rotted farmyard manure (ಗೊಬ್ಬರ) or compost into the topsoil.

3. Sowing time (ಬಿತ್ತನೆ ಸಮಯ): Start planting with the onset of the southwest monsoon; heavy rains help establishment.

4. Seed rate & spacing (ಬೀಜ ಪ್ರಮಾಣ ಮತ್ತು ಅಂತರ): Use recommended seed rates from KVK/UAS.

5. Fertilizer & manure (ಗೊಬ್ಬರ ಮತ್ತು ಎರೆವು): Apply FYM and balanced NPK based on soil test.

6. Watering schedule (ನೀರಾವರಿ): Water as per crop stage; use drip ನೀರಾವರಿ where possible.

7. Weeding and interculture (ಕೊಳೆ ತೆಗೆಯುವುದು): Timely weeding and mulching helps conserve moisture.

8. Pest & disease control (ಕೀಟ/ರೋಗ): Follow IPM and use neem-based (ನಿಂಬೆ) biopesticides for minor pests.

9. Harvesting (ಕೊಯ್ದು): Harvest at maturity and dry/store properly.",Jackfruit supports local food and income needs in Coastal Karnataka; market value depends on quality and access to buyers.,"Used for food, feed or processing depending on crop; residues generally returned to soil as mulch or used as fodder.","Dakshina Kannada, Udupi, Uttara Kannada",KVK / ICAR YouTube playlist – general crop practices: https://www.youtube.com/user/ICARDARESEARCH,KVK or Agri extension article portal (search specific crop): https://kvk.icar.gov.in/
Mango,"Mango (Mangifera indica) is cultivated in Coastal Karnataka. It is important locally for food and income and adapted to local climate and soils. Major producing districts include Dakshina Kannada, Udupi, Uttara Kannada.","1. Soil type (ಮಣ್ಣು): lateritic or sandy-loam ಮಣ್ಣು (ಲೇಟೆರೈಟಿಕ್/ಮರಳು ಮಿಶ್ರ ಮಣ್ಣು) with good drainage.

2. Land preparation (ನೆಲ ಸಿದ್ಧತೆ): Plough 2–3 times, remove weeds and level the field. Incorporate well-rotted farmyard manure (ಗೊಬ್ಬರ) or compost into the topsoil.

3. Sowing time (ಬಿತ್ತನೆ ಸಮಯ): Start planting with the onset of the southwest monsoon; heavy rains help establishment.

4. Seed rate & spacing (ಬೀಜ ಪ್ರಮಾಣ ಮತ್ತು ಅಂತರ): Use recommended seed rates from KVK/UAS.

5. Fertilizer & manure (ಗೊಬ್ಬರ ಮತ್ತು ಎರೆವು): Apply FYM and balanced NPK based on soil test.

6. Watering schedule (ನೀರಾವರಿ): Water as per crop stage; use drip ನೀರಾವರಿ where possible.

7. Weeding and interculture (ಕೊಳೆ ತೆಗೆಯುವುದು): Timely weeding and mulching helps conserve moisture.

8. Pest & disease control (ಕೀಟ/ರೋಗ): Follow IPM and use neem-based (ನಿಂಬೆ) biopesticides for minor pests.

9. Harvesting (ಕೊಯ್ದು): Harvest at maturity and dry/store properly.","Mango orchards in Coastal Karnataka provide seasonal high-value income. Varieties like Banganapalle command premium prices; processing (pulp, pickles) and fresh markets boost returns for orchardists.","Mangoes are consumed fresh and processed into pulp, juices and pickles. Value-added products increase shelf life and income for producers.","Dakshina Kannada, Udupi, Uttara Kannada",Mango cultivation guide (YouTube): https://www.youtube.com/watch?v=5w2sGm1QzZk,Mango production & varieties (AgriFarming): https://www.agrifarming.in/mango-farming/
Banana,"Banana (Musa spp.) is cultivated in Coastal Karnataka. It is important locally for food and income and adapted to local climate and soils. Major producing districts include Dakshina Kannada, Udupi, Uttara Kannada.","1. Soil type (ಮಣ್ಣು): lateritic or sandy-loam ಮಣ್ಣು (ಲೇಟೆರೈಟಿಕ್/ಮರಳು ಮಿಶ್ರ ಮಣ್ಣು) with good drainage.

2. Land preparation (ನೆಲ ಸಿದ್ಧತೆ): Plough 2–3 times, remove weeds and level the field. Incorporate well-rotted farmyard manure (ಗೊಬ್ಬರ) or compost into the topsoil.

3. Sowing time (ಬಿತ್ತನೆ ಸಮಯ): Start planting with the onset of the southwest monsoon; heavy rains help establishment.

4. Seed rate & spacing (ಬೀಜ ಪ್ರಮಾಣ ಮತ್ತು ಅಂತರ): Use recommended seed rates from KVK/UAS.

5. Fertilizer & manure (ಗೊಬ್ಬರ ಮತ್ತು ಎರೆವು): Apply FYM and balanced NPK based on soil test.

6. Watering schedule (ನೀರಾವರಿ): Water as per crop stage; use drip ನೀರಾವರಿ where possible.

7. Weeding and interculture (ಕೊಳೆ ತೆಗೆಯುವುದು): Timely weeding and mulching helps conserve moisture.

8. Pest & disease control (ಕೀಟ/ರೋಗ): Follow IPM and use neem-based (ನಿಂಬೆ) biopesticides for minor pests.

9. Harvesting (ಕೊಯ್ದು): Harvest at maturity and dry/store properly.",Banana supports local food and income needs in Coastal Karnataka; market value depends on quality and access to buyers.,"Used for food, feed or processing depending on crop; residues generally returned to soil as mulch or used as fodder.","Dakshina Kannada, Udupi, Uttara Kannada",Banana cultivation (YouTube - Kannada friendly): https://www.youtube.com/watch?v=a6hG_CpD4gU,Banana cultivation (AgriFarming): https://www.agrifarming.in/banana-farming/
Cashew nut,"Cashew nut (Anacardium occidentale) is cultivated in Coastal Karnataka. It is important locally for food and income and adapted to local climate and soils. Major producing districts include Dakshina Kannada, Udupi, Uttara Kannada.","1. Soil type (ಮಣ್ಣು): lateritic or sandy-loam ಮಣ್ಣು (ಲೇಟೆರೈಟಿಕ್/ಮರಳು ಮಿಶ್ರ ಮಣ್ಣು) with good drainage.

2. Land preparation (ನೆಲ ಸಿದ್ಧತೆ): Plough 2–3 times, remove weeds and level the field. Incorporate well-rotted farmyard manure (ಗೊಬ್ಬರ) or compost into the topsoil.

3. Sowing time (ಬಿತ್ತನೆ ಸಮಯ): Start planting with the onset of the southwest monsoon; heavy rains help establishment.

4. Seed rate & spacing (ಬೀಜ ಪ್ರಮಾಣ ಮತ್ತು ಅಂತರ): Use recommended seed rates from KVK/UAS.

5. Fertilizer & manure (ಗೊಬ್ಬರ ಮತ್ತು ಎರೆವು): Apply FYM and balanced NPK based on soil test.

6. Watering schedule (ನೀರಾವರಿ): Water as per crop stage; use drip ನೀರಾವರಿ where possible.

7. Weeding and interculture (ಕೊಳೆ ತೆಗೆಯುವುದು): Timely weeding and mulching helps conserve moisture.

8. Pest & disease control (ಕೀಟ/ರೋಗ): Follow IPM and use neem-based (ನಿಂಬೆ) biopesticides for minor pests.

9. Harvesting (ಕೊಯ್ದು): Harvest at maturity and dry/store properly.",Cashew nut supports local food and income needs in Coastal Karnataka; market value depends on quality and access to buyers.,"Used for food, feed or processing depending on crop; residues generally returned to soil as mulch or used as fodder.","Dakshina Kannada, Udupi, Uttara Kannada",KVK / ICAR YouTube playlist – general crop practices: https://www.youtube.com/user/ICARDARESEARCH,KVK or Agri extension article portal (search specific crop): https://kvk.icar.gov.in/
Vegetables,"Vegetables is cultivated in Coastal Karnataka. It is important locally for food and income and adapted to local climate and soils. Major producing districts include Dakshina Kannada, Udupi, Uttara Kannada.","1. Soil type (ಮಣ್ಣು): lateritic or sandy-loam ಮಣ್ಣು (ಲೇಟೆರೈಟಿಕ್/ಮರಳು ಮಿಶ್ರ ಮಣ್ಣು) with good drainage.

2. Land preparation (ನೆಲ ಸಿದ್ಧತೆ): Plough 2–3 times, remove weeds and level the field. Incorporate well-rotted farmyard manure (ಗೊಬ್ಬರ) or compost into the topsoil.

3. Sowing time (ಬಿತ್ತನೆ ಸಮಯ): Start planting with the onset of the southwest monsoon; heavy rains help establishment.

4. Seed rate & spacing (ಬೀಜ ಪ್ರಮಾಣ ಮತ್ತು ಅಂತರ): Use recommended seed rates from KVK/UAS.

5. Fertilizer & manure (ಗೊಬ್ಬರ ಮತ್ತು ಎರೆವು): Apply FYM and balanced NPK based on soil test.

6. Watering schedule (ನೀರಾವರಿ): Water as per crop stage; use drip ನೀರಾವರಿ where possible.

7. Weeding and interculture (ಕೊಳೆ ತೆಗೆಯುವುದು): Timely weeding and mulching helps conserve moisture.

8. Pest & disease control (ಕೀಟ/ರೋಗ): Follow IPM and use neem-based (ನಿಂಬೆ) biopesticides for minor pests.

9. Harvesting (ಕೊಯ್ದು): Harvest at maturity and dry/store properly.",Vegetables supports local food and income needs in Coastal Karnataka; market value depends on quality and access to buyers.,"Used for food, feed or processing depending on crop; residues generally returned to soil as mulch or used as fodder.","Dakshina Kannada, Udupi, Uttara Kannada",KVK / ICAR YouTube playlist – general crop practices: https://www.youtube.com/user/ICARDARESEARCH,KVK or Agri extension article portal (search specific crop): https://kvk.icar.gov.in/
Tomatoes,"Tomatoes (Solanum lycopersicum) is cultivated in Coastal Karnataka. It is important locally for food and income and adapted to local climate and soils. Major producing districts include Dakshina Kannada, Udupi, Uttara Kannada.","1. Soil type (ಮಣ್ಣು): lateritic or sandy-loam ಮಣ್ಣು (ಲೇಟೆರೈಟಿಕ್/ಮರಳು ಮಿಶ್ರ ಮಣ್ಣು) with good drainage.

2. Land preparation (ನೆಲ ಸಿದ್ಧತೆ): Plough 2–3 times, remove weeds and level the field. Incorporate well-rotted farmyard manure (ಗೊಬ್ಬರ) or compost into the topsoil.

3. Sowing time (ಬಿತ್ತನೆ ಸಮಯ): Start planting with the onset of the southwest monsoon; heavy rains help establishment.

4. Seed rate & spacing (ಬೀಜ ಪ್ರಮಾಣ ಮತ್ತು ಅಂತರ): Use recommended seed rates from KVK/UAS.

5. Fertilizer & manure (ಗೊಬ್ಬರ ಮತ್ತು ಎರೆವು): Apply FYM and balanced NPK based on soil test.

6. Watering schedule (ನೀರಾವರಿ): Water as per crop stage; use drip ನೀರಾವರಿ where possible.

7. Weeding and interculture (ಕೊಳೆ ತೆಗೆಯುವುದು): Timely weeding and mulching helps conserve moisture.

8. Pest & disease control (ಕೀಟ/ರೋಗ): Follow IPM and use neem-based (ನಿಂಬೆ) biopesticides for minor pests.

9. Harvesting (ಕೊಯ್ದು): Harvest at maturity and dry/store properly.",Tomatoes supports local food and income needs in Coastal Karnataka; market value depends on quality and access to buyers.,"Used for food, feed or processing depending on crop; residues generally returned to soil as mulch or used as fodder.","Dakshina Kannada, Udupi, Uttara Kannada",KVK / ICAR YouTube playlist – general crop practices: https://www.youtube.com/user/ICARDARESEARCH,KVK or Agri extension article portal (search specific crop): https://kvk.icar.gov.in/
Beans,"Beans is cultivated in Coastal Karnataka. It is important locally for food and income and adapted to local climate and soils. Major producing districts include Dakshina Kannada, Udupi, Uttara Kannada.","1. Soil type (ಮಣ್ಣು): lateritic or sandy-loam ಮಣ್ಣು (ಲೇಟೆರೈಟಿಕ್/ಮರಳು ಮಿಶ್ರ ಮಣ್ಣು) with good drainage.

2. Land preparation (ನೆಲ ಸಿದ್ಧತೆ): Plough 2–3 times, remove weeds and level the field. Incorporate well-rotted farmyard manure (ಗೊಬ್ಬರ) or compost into the topsoil.

3. Sowing time (ಬಿತ್ತನೆ ಸಮಯ): Start planting with the onset of the southwest monsoon; heavy rains help establishment.

4. Seed rate & spacing (ಬೀಜ ಪ್ರಮಾಣ ಮತ್ತು ಅಂತರ): Use recommended seed rates from KVK/UAS.

5. Fertilizer & manure (ಗೊಬ್ಬರ ಮತ್ತು ಎರೆವು): Apply FYM and balanced NPK based on soil test.

6. Watering schedule (ನೀರಾವರಿ): Water as per crop stage; use drip ನೀರಾವರಿ where possible.

7. Weeding and interculture (ಕೊಳೆ ತೆಗೆಯುವುದು): Timely weeding and mulching helps conserve moisture.

8. Pest & disease control (ಕೀಟ/ರೋಗ): Follow IPM and use neem-based (ನಿಂಬೆ) biopesticides for minor pests.

9. Harvesting (ಕೊಯ್ದು): Harvest at maturity and dry/store properly.",Beans supports local food and income needs in Coastal Karnataka; market value depends on quality and access to buyers.,"Used for food, feed or processing depending on crop; residues generally returned to soil as mulch or used as fodder.","Dakshina Kannada, Udupi, Uttara Kannada",KVK / ICAR YouTube playlist – general crop practices: https://www.youtube.com/user/ICARDARESEARCH,KVK or Agri extension article portal (search specific crop): https://kvk.icar.gov.in/
Cucumbers,"Cucumbers is cultivated in Coastal Karnataka. It is important locally for food and income and adapted to local climate and soils. Major producing districts include Dakshina Kannada, Udupi, Uttara Kannada.","1. Soil type (ಮಣ್ಣು): lateritic or sandy-loam ಮಣ್ಣು (ಲೇಟೆರೈಟಿಕ್/ಮರಳು ಮಿಶ್ರ ಮಣ್ಣು) with good drainage.

2. Land preparation (ನೆಲ ಸಿದ್ಧತೆ): Plough 2–3 times, remove weeds and level the field. Incorporate well-rotted farmyard manure (ಗೊಬ್ಬರ) or compost into the topsoil.

3. Sowing time (ಬಿತ್ತನೆ ಸಮಯ): Start planting with the onset of the southwest monsoon; heavy rains help establishment.

4. Seed rate & spacing (ಬೀಜ ಪ್ರಮಾಣ ಮತ್ತು ಅಂತರ): Use recommended seed rates from KVK/UAS.

5. Fertilizer & manure (ಗೊಬ್ಬರ ಮತ್ತು ಎರೆವು): Apply FYM and balanced NPK based on soil test.

6. Watering schedule (ನೀರಾವರಿ): Water as per crop stage; use drip ನೀರಾವರಿ where possible.

7. Weeding and interculture (ಕೊಳೆ ತೆಗೆಯುವುದು): Timely weeding and mulching helps conserve moisture.

8. Pest & disease control (ಕೀಟ/ರೋಗ): Follow IPM and use neem-based (ನಿಂಬೆ) biopesticides for minor pests.

9. Harvesting (ಕೊಯ್ದು): Harvest at maturity and dry/store properly.",Cucumbers supports local food and income needs in Coastal Karnataka; market value depends on quality and access to buyers.,"Used for food, feed or processing depending on crop; residues generally returned to soil as mulch or used as fodder.","Dakshina Kannada, Udupi, Uttara Kannada",KVK / ICAR YouTube playlist – general crop practices: https://www.youtube.com/user/ICARDARESEARCH,KVK or Agri extension article portal (search specific crop): https://kvk.icar.gov.in/
Gourds,"Gourds is cultivated in Coastal Karnataka. It is important locally for food and income and adapted to local climate and soils. Major producing districts include Dakshina Kannada, Udupi, Uttara Kannada.","1. Soil type (ಮಣ್ಣು): lateritic or sandy-loam ಮಣ್ಣು (ಲೇಟೆರೈಟಿಕ್/ಮರಳು ಮಿಶ್ರ ಮಣ್ಣು) with good drainage.

2. Land preparation (ನೆಲ ಸಿದ್ಧತೆ): Plough 2–3 times, remove weeds and level the field. Incorporate well-rotted farmyard manure (ಗೊಬ್ಬರ) or compost into the topsoil.

3. Sowing time (ಬಿತ್ತನೆ ಸಮಯ): Start planting with the onset of the southwest monsoon; heavy rains help establishment.

4. Seed rate & spacing (ಬೀಜ ಪ್ರಮಾಣ ಮತ್ತು ಅಂತರ): Use recommended seed rates from KVK/UAS.

5. Fertilizer & manure (ಗೊಬ್ಬರ ಮತ್ತು ಎರೆವು): Apply FYM and balanced NPK based on soil test.

6. Watering schedule (ನೀರಾವರಿ): Water as per crop stage; use drip ನೀರಾವರಿ where possible.

7. Weeding and interculture (ಕೊಳೆ ತೆಗೆಯುವುದು): Timely weeding and mulching helps conserve moisture.

8. Pest & disease control (ಕೀಟ/ರೋಗ): Follow IPM and use neem-based (ನಿಂಬೆ) biopesticides for minor pests.

9. Harvesting (ಕೊಯ್ದು): Harvest at maturity and dry/store properly.",Gourds supports local food and income needs in Coastal Karnataka; market value depends on quality and access to buyers.,"Used for food, feed or processing depending on crop; residues generally returned to soil as mulch or used as fodder.","Dakshina Kannada, Udupi, Uttara Kannada",KVK / ICAR YouTube playlist – general crop practices: https://www.youtube.com/user/ICARDARESEARCH,KVK or Agri extension article portal (search specific crop): https://kvk.icar.gov.in/
Carrots,"Carrots is cultivated in Coastal Karnataka. It is important locally for food and income and adapted to local climate and soils. Major producing districts include Dakshina Kannada, Udupi, Uttara Kannada.","1. Soil type (ಮಣ್ಣು): lateritic or sandy-loam ಮಣ್ಣು (ಲೇಟೆರೈಟಿಕ್/ಮರಳು ಮಿಶ್ರ ಮಣ್ಣು) with good drainage.

2. Land preparation (ನೆಲ ಸಿದ್ಧತೆ): Plough 2–3 times, remove weeds and level the field. Incorporate well-rotted farmyard manure (ಗೊಬ್ಬರ) or compost into the topsoil.

3. Sowing time (ಬಿತ್ತನೆ ಸಮಯ): Start planting with the onset of the southwest monsoon; heavy rains help establishment.

4. Seed rate & spacing (ಬೀಜ ಪ್ರಮಾಣ ಮತ್ತು ಅಂತರ): Use recommended seed rates from KVK/UAS.

5. Fertilizer & manure (ಗೊಬ್ಬರ ಮತ್ತು ಎರೆವು): Apply FYM and balanced NPK based on soil test.

6. Watering schedule (ನೀರಾವರಿ): Water as per crop stage; use drip ನೀರಾವರಿ where possible.

7. Weeding and interculture (ಕೊಳೆ ತೆಗೆಯುವುದು): Timely weeding and mulching helps conserve moisture.

8. Pest & disease control (ಕೀಟ/ರೋಗ): Follow IPM and use neem-based (ನಿಂಬೆ) biopesticides for minor pests.

9. Harvesting (ಕೊಯ್ದು): Harvest at maturity and dry/store properly.",Carrots supports local food and income needs in Coastal Karnataka; market value depends on quality and access to buyers.,"Used for food, feed or processing depending on crop; residues generally returned to soil as mulch or used as fodder.","Dakshina Kannada, Udupi, Uttara Kannada",KVK / ICAR YouTube playlist – general crop practices: https://www.youtube.com/user/ICARDARESEARCH,KVK or Agri extension article portal (search specific crop): https://kvk.icar.gov.in/
